id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
75	425	0	nuclei	40
105	426	1	nuclei	113
51	428	1	nuclei	58
15	429	0	nuclei	59
79	432	1	nuclei	78
113	435	0	nuclei	118
59	438	1	nuclei	56
94	438	1	nuclei	92
73	442	0	nuclei	125
74	444	0	nuclei	103
105	444	0	nuclei	61
120	448	1	nuclei	122
55	450	0	nuclei	62
94	451	0	nuclei	51
94	454	0	nuclei	44
49	457	0	nuclei	47
106	457	0	nuclei	37
11	459	0	nuclei	106
79	459	1	nuclei	77
1	462	1	nuclei	5
26	469	0	nuclei	86
31	469	0	nuclei	122
52	470	1	nuclei	54
65	470	1	nuclei	65
57	471	0	nuclei	128
121	471	0	nuclei	127
25	472	1	nuclei	22
27	472	1	nuclei	29
68	472	1	nuclei	60
75	472	1	nuclei	67
92	473	0	nuclei	60
75	474	1	nuclei	77
33	475	1	nuclei	31
23	476	1	nuclei	27
124	477	0	nuclei	106
75	478	1	nuclei	75
106	479	1	nuclei	112
87	481	0	nuclei	20
102	481	0	nuclei	53
113	481	0	nuclei	99
17	481	1	nuclei	16
32	481	1	nuclei	27
75	483	1	nuclei	70
25	484	0	nuclei	88
97	484	0	nuclei	61
108	484	1	nuclei	115
75	485	0	nuclei	34
75	485	1	nuclei	69
79	486	0	nuclei	136
75	486	1	nuclei	74
54	487	0	nuclei	73
65	487	0	nuclei	37
75	487	0	nuclei	36
75	487	1	nuclei	66
23	488	0	nuclei	27
101	490	0	nuclei	9
26	490	1	nuclei	26
75	490	1	nuclei	67
17	492	1	nuclei	19
75	492	1	nuclei	72
0	495	1	nuclei	4
47	497	0	nuclei	16
25	497	0	nuclei	101
84	497	1	nuclei	80
19	498	0	nuclei	3
