id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
75	616	1	all	78
46	616	1	all	50
57	616	1	all	57
32	616	1	all	35
82	616	1	all	89
51	616	1	all	58
33	616	1	all	36
54	616	1	all	54
26	616	1	all	29
27	616	1	all	30
69	616	1	all	70
60	616	1	all	65
88	616	1	all	92
29	616	1	all	32
47	616	2	all	26
34	616	1	all	34
65	616	0	all	82
22	616	1	all	27
64	616	1	all	63
6	616	1	all	8
72	616	1	all	81
1	616	1	all	1
7	616	2	all	20
56	616	1	all	60
59	616	1	all	64
45	616	1	all	48
52	616	1	all	53
87	616	1	all	94
50	616	1	all	47
77	616	1	all	85
40	616	1	all	43
80	616	1	all	87
3	616	1	all	6
16	616	1	all	22
28	616	1	all	31
18	616	1	all	21
17	616	1	all	20
83	616	1	all	90
44	616	1	all	46
12	616	1	all	13
66	613	2	all	36
81	613	1	all	89
57	613	1	all	59
32	613	1	all	39
82	613	1	all	86
51	613	1	all	60
54	613	1	all	58
27	613	1	all	31
85	613	1	all	91
60	613	1	all	67
34	613	1	all	35
64	613	1	all	70
6	613	1	all	9
1	613	1	all	1
7	613	1	all	10
45	613	1	all	48
90	613	1	all	95
40	613	0	all	81
16	613	2	all	75
28	613	0	all	59
18	613	1	all	22
17	613	1	all	21
83	613	1	all	88
44	613	1	all	53
38	615	0	all	16
75	615	1	all	77
81	615	2	all	18
57	615	0	all	41
32	615	0	all	54
41	615	1	all	42
51	615	1	all	57
54	615	1	all	53
26	615	1	all	26
27	615	1	all	27
39	615	0	all	5
85	615	0	all	46
60	615	1	all	62
88	615	1	all	87
29	615	1	all	34
47	615	2	all	27
65	615	1	all	72
22	615	1	all	24
62	615	1	all	65
64	615	1	all	66
6	615	1	all	5
72	615	1	all	79
1	615	1	all	1
7	615	2	all	22
56	615	1	all	60
45	615	1	all	48
90	615	1	all	90
10	615	1	all	8
16	615	1	all	19
28	615	1	all	29
18	615	1	all	18
17	615	1	all	17
83	615	1	all	85
44	615	1	all	46
12	615	1	all	12
66	614	1	all	69
57	614	1	all	54
32	614	1	all	34
51	614	1	all	53
33	614	1	all	36
54	614	1	all	59
26	614	1	all	26
27	614	1	all	27
85	614	0	all	50
69	614	1	all	76
60	614	1	all	64
88	614	1	all	91
29	614	1	all	33
47	614	2	all	24
65	614	1	all	68
62	614	0	all	65
64	614	1	all	67
6	614	1	all	8
72	614	1	all	80
7	614	1	all	9
56	614	1	all	57
45	614	1	all	49
5	614	1	all	6
74	614	1	all	82
90	614	1	all	95
40	614	0	all	79
80	614	2	all	28
3	614	1	all	5
21	614	1	all	22
16	614	1	all	20
28	614	0	all	57
18	614	1	all	19
83	614	1	all	88
44	614	1	all	46
22	622	2	all	35
85	622	1	all	79
57	622	0	all	45
32	622	2	all	18
27	622	2	all	74
78	622	1	all	75
79	622	0	all	74
50	622	1	all	47
16	622	1	all	18
77	622	1	all	74
54	622	2	all	48
25	622	1	all	27
81	622	1	all	78
2	622	1	all	4
80	622	2	all	33
65	622	0	all	82
12	622	1	all	13
24	622	1	all	26
7	622	1	all	7
28	622	1	all	34
72	622	1	all	72
1	622	1	all	1
64	622	0	all	35
6	622	1	all	6
73	622	0	all	40
8	622	1	all	8
51	622	1	all	54
40	620	1	all	40
5	620	1	all	7
44	620	1	all	48
3	620	1	all	6
39	620	1	all	39
22	620	2	all	37
76	620	2	all	76
74	620	1	all	73
77	620	1	all	79
24	620	1	all	25
66	620	1	all	69
42	620	1	all	37
25	620	1	all	26
57	620	0	all	43
79	620	1	all	81
65	620	0	all	82
69	620	1	all	68
85	620	0	all	44
87	620	0	all	53
80	620	2	all	33
54	620	1	all	55
51	620	1	all	50
27	620	1	all	28
62	620	2	all	29
16	620	1	all	19
64	620	1	all	64
12	620	1	all	14
8	620	1	all	9
73	620	1	all	78
56	620	0	all	74
45	620	1	all	52
6	620	1	all	8
2	620	1	all	4
21	620	1	all	22
18	620	1	all	21
1	620	1	all	3
78	620	1	all	80
28	620	1	all	33
72	620	1	all	77
14	620	1	all	10
26	620	1	all	27
50	620	1	all	49
29	620	1	all	30
75	617	1	all	78
14	617	1	all	16
46	617	1	all	51
57	617	1	all	59
32	617	1	all	36
41	617	1	all	46
2	617	1	all	6
76	617	2	all	75
51	617	1	all	60
33	617	1	all	37
54	617	1	all	57
26	617	1	all	30
27	617	0	all	8
39	617	1	all	44
85	617	1	all	89
69	617	1	all	72
60	617	1	all	66
78	617	1	all	83
29	617	1	all	34
47	617	2	all	25
65	617	1	all	73
22	617	1	all	28
62	617	1	all	68
64	617	1	all	65
6	617	1	all	9
72	617	1	all	77
1	617	1	all	2
7	617	1	all	4
56	617	1	all	62
11	617	1	all	12
45	617	1	all	50
52	617	1	all	55
42	617	1	all	47
87	617	1	all	90
4	617	1	all	8
35	617	1	all	38
50	617	1	all	54
40	617	1	all	45
3	617	1	all	11
10	617	1	all	7
16	617	1	all	22
28	617	1	all	33
18	617	1	all	21
17	617	1	all	20
44	617	1	all	49
12	617	1	all	13
24	617	1	all	29
6	623	1	all	5
29	623	1	all	32
22	623	2	all	37
78	623	1	all	75
17	623	1	all	21
85	623	0	all	44
28	623	1	all	31
2	623	1	all	4
51	623	1	all	55
72	623	1	all	73
64	623	1	all	59
35	623	0	all	65
27	623	1	all	27
79	623	0	all	71
16	623	1	all	20
10	623	1	all	10
34	623	1	all	40
54	623	1	all	57
62	623	0	all	59
39	623	0	all	5
12	623	1	all	13
