id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
5	91	1	fu	4
1	91	2	fu	4
2	91	2	fu	8
3	91	2	fu	7
4	91	1	fu	5
7	94	2	fu	5
5	94	1	fu	4
1	94	1	fu	1
2	94	1	fu	2
3	94	2	fu	7
4	94	1	fu	5
6	94	2	fu	2
7	92	1	fu	7
5	92	1	fu	4
1	92	2	fu	4
2	92	1	fu	1
3	92	1	fu	3
4	92	1	fu	5
6	92	2	fu	3
0	92	1	fu	0
5	90	1	fu	4
1	90	2	fu	4
2	90	1	fu	2
3	90	1	fu	3
4	90	1	fu	5
7	93	1	fu	7
5	93	1	fu	4
1	93	2	fu	4
2	93	1	fu	1
3	93	1	fu	3
4	93	1	fu	5
6	93	1	fu	6
3	99	2	fu	7
4	99	1	fu	4
2	99	1	fu	2
2	98	1	fu	2
3	98	1	fu	3
4	98	1	fu	4
3	96	2	fu	7
7	96	2	fu	5
2	96	1	fu	2
6	96	2	fu	2
5	96	1	fu	5
4	96	1	fu	4
7	97	1	fu	7
2	97	1	fu	2
3	97	1	fu	3
4	97	1	fu	4
