id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
22	145	0	nuclei	10
30	145	0	nuclei	42
43	145	0	nuclei	43
52	145	0	nuclei	51
55	145	0	nuclei	54
70	145	0	nuclei	65
82	145	0	nuclei	76
88	145	0	nuclei	83
96	145	0	nuclei	90
97	145	0	nuclei	91
107	145	0	nuclei	102
141	145	0	nuclei	139
144	145	0	nuclei	150
154	145	0	nuclei	153
172	145	0	nuclei	169
168	145	0	nuclei	185
191	145	0	nuclei	191
5	145	0	nuclei	206
210	145	0	nuclei	208
215	145	0	nuclei	213
216	145	0	nuclei	214
0	146	0	nuclei	0
3	146	0	nuclei	3
4	146	0	nuclei	4
212	146	0	nuclei	6
217	146	0	nuclei	9
11	146	0	nuclei	10
13	146	0	nuclei	11
16	146	0	nuclei	15
9	146	0	nuclei	18
18	146	0	nuclei	19
22	146	0	nuclei	21
24	146	0	nuclei	22
12	146	0	nuclei	23
25	146	0	nuclei	24
27	146	0	nuclei	28
28	146	0	nuclei	29
32	146	0	nuclei	31
21	146	0	nuclei	33
23	146	0	nuclei	34
34	146	0	nuclei	35
35	146	0	nuclei	37
37	146	0	nuclei	38
51	146	0	nuclei	40
39	146	0	nuclei	41
41	146	0	nuclei	43
42	146	0	nuclei	45
43	146	0	nuclei	46
45	146	0	nuclei	49
48	146	0	nuclei	51
38	146	0	nuclei	53
50	146	0	nuclei	55
52	146	0	nuclei	56
53	146	0	nuclei	57
55	146	0	nuclei	59
47	146	0	nuclei	62
60	146	0	nuclei	64
62	146	0	nuclei	65
66	146	0	nuclei	67
68	146	0	nuclei	68
69	146	0	nuclei	69
70	146	0	nuclei	70
71	146	0	nuclei	71
74	146	0	nuclei	73
76	146	0	nuclei	74
67	146	0	nuclei	75
78	146	0	nuclei	76
77	146	0	nuclei	77
80	146	0	nuclei	79
82	146	0	nuclei	81
84	146	0	nuclei	83
72	146	0	nuclei	84
86	146	0	nuclei	87
87	146	0	nuclei	88
88	146	0	nuclei	89
98	146	0	nuclei	91
85	146	0	nuclei	92
92	146	0	nuclei	93
91	146	0	nuclei	94
93	146	0	nuclei	96
94	146	0	nuclei	97
96	146	0	nuclei	98
97	146	0	nuclei	100
100	146	0	nuclei	102
101	146	0	nuclei	103
104	146	0	nuclei	106
103	146	0	nuclei	107
105	146	0	nuclei	108
106	146	0	nuclei	109
95	146	0	nuclei	110
109	146	0	nuclei	112
110	146	0	nuclei	113
111	146	0	nuclei	114
112	146	0	nuclei	115
113	146	0	nuclei	117
115	146	0	nuclei	118
117	146	0	nuclei	119
123	146	0	nuclei	125
114	146	0	nuclei	127
125	146	0	nuclei	128
126	146	0	nuclei	130
131	146	0	nuclei	131
132	146	0	nuclei	132
127	146	0	nuclei	137
148	146	0	nuclei	138
128	146	0	nuclei	139
137	146	0	nuclei	140
130	146	0	nuclei	142
138	146	0	nuclei	143
140	146	0	nuclei	144
144	146	0	nuclei	146
146	146	0	nuclei	149
147	146	0	nuclei	151
141	146	0	nuclei	153
153	146	0	nuclei	157
154	146	0	nuclei	158
157	146	0	nuclei	159
158	146	0	nuclei	160
160	146	0	nuclei	161
161	146	0	nuclei	162
178	146	0	nuclei	164
163	146	0	nuclei	165
165	146	0	nuclei	166
159	146	0	nuclei	170
172	146	0	nuclei	172
171	146	0	nuclei	174
174	146	0	nuclei	176
175	146	0	nuclei	177
180	146	0	nuclei	182
166	146	0	nuclei	184
183	146	0	nuclei	185
168	146	0	nuclei	187
186	146	0	nuclei	188
188	146	0	nuclei	190
189	146	0	nuclei	191
190	146	0	nuclei	192
192	146	0	nuclei	194
184	146	0	nuclei	196
193	146	0	nuclei	197
195	146	0	nuclei	199
187	146	0	nuclei	200
196	146	0	nuclei	201
198	146	0	nuclei	202
199	146	0	nuclei	203
208	146	0	nuclei	205
201	146	0	nuclei	206
211	146	0	nuclei	207
197	146	0	nuclei	208
209	146	0	nuclei	212
210	146	0	nuclei	213
213	146	0	nuclei	214
214	146	0	nuclei	215
202	146	0	nuclei	216
204	146	0	nuclei	219
27	146	1	nuclei	0
71	146	1	nuclei	5
155	146	1	nuclei	12
23	146	1	nuclei	17
9	146	1	nuclei	25
134	146	1	nuclei	27
175	146	1	nuclei	32
11	146	1	nuclei	38
36	146	1	nuclei	43
37	146	1	nuclei	47
28	146	1	nuclei	48
89	146	1	nuclei	52
213	146	1	nuclei	55
54	146	1	nuclei	61
96	146	1	nuclei	68
3	146	1	nuclei	82
202	146	1	nuclei	83
43	146	1	nuclei	86
141	146	1	nuclei	87
178	146	1	nuclei	97
170	146	1	nuclei	99
14	146	1	nuclei	102
97	146	1	nuclei	114
80	146	1	nuclei	127
148	146	1	nuclei	139
110	146	1	nuclei	140
51	146	1	nuclei	142
39	146	1	nuclei	149
7	146	1	nuclei	150
160	146	1	nuclei	158
98	146	1	nuclei	161
69	146	1	nuclei	166
34	146	1	nuclei	168
195	146	1	nuclei	170
93	146	1	nuclei	173
44	146	1	nuclei	174
197	146	1	nuclei	176
67	146	1	nuclei	180
192	146	1	nuclei	184
100	146	1	nuclei	187
87	146	1	nuclei	189
21	146	1	nuclei	191
83	146	1	nuclei	199
17	146	1	nuclei	213
208	146	1	nuclei	214
112	146	1	nuclei	215
0	146	1	nuclei	217
3	148	0	nuclei	217
4	148	0	nuclei	2
6	148	0	nuclei	4
7	148	0	nuclei	5
8	148	0	nuclei	7
10	148	0	nuclei	8
12	148	0	nuclei	0
15	148	0	nuclei	15
19	148	0	nuclei	21
22	148	0	nuclei	25
23	148	0	nuclei	24
24	148	0	nuclei	26
25	148	0	nuclei	12
26	148	0	nuclei	28
28	148	0	nuclei	31
29	148	0	nuclei	19
30	148	0	nuclei	32
32	148	0	nuclei	33
34	148	0	nuclei	34
36	148	0	nuclei	37
37	148	0	nuclei	38
38	148	0	nuclei	39
39	148	0	nuclei	40
40	148	0	nuclei	29
41	148	0	nuclei	41
42	148	0	nuclei	45
43	148	0	nuclei	46
44	148	0	nuclei	48
47	148	0	nuclei	50
48	148	0	nuclei	51
49	148	0	nuclei	61
50	148	0	nuclei	53
51	148	0	nuclei	52
52	148	0	nuclei	55
53	148	0	nuclei	42
55	148	0	nuclei	57
57	148	0	nuclei	49
58	148	0	nuclei	60
60	148	0	nuclei	63
61	148	0	nuclei	56
62	148	0	nuclei	65
64	148	0	nuclei	67
69	148	0	nuclei	86
72	148	0	nuclei	72
73	148	0	nuclei	73
74	148	0	nuclei	75
76	148	0	nuclei	77
77	148	0	nuclei	81
78	148	0	nuclei	80
79	148	0	nuclei	82
80	148	0	nuclei	83
84	148	0	nuclei	87
85	148	0	nuclei	89
86	148	0	nuclei	78
87	148	0	nuclei	91
88	148	0	nuclei	85
91	148	0	nuclei	99
93	148	0	nuclei	101
94	148	0	nuclei	102
95	148	0	nuclei	92
98	148	0	nuclei	95
101	148	0	nuclei	96
102	148	0	nuclei	108
103	148	0	nuclei	98
104	148	0	nuclei	109
106	148	0	nuclei	123
107	148	0	nuclei	111
108	148	0	nuclei	112
109	148	0	nuclei	113
111	148	0	nuclei	114
112	148	0	nuclei	107
113	148	0	nuclei	116
114	148	0	nuclei	117
115	148	0	nuclei	119
118	148	0	nuclei	121
120	148	0	nuclei	124
122	148	0	nuclei	126
123	148	0	nuclei	127
125	148	0	nuclei	118
126	148	0	nuclei	120
127	148	0	nuclei	129
130	148	0	nuclei	142
131	148	0	nuclei	132
133	148	0	nuclei	133
134	148	0	nuclei	138
139	148	0	nuclei	144
142	148	0	nuclei	145
143	148	0	nuclei	137
144	148	0	nuclei	146
145	148	0	nuclei	148
146	148	0	nuclei	164
149	148	0	nuclei	155
153	148	0	nuclei	149
155	148	0	nuclei	161
157	148	0	nuclei	162
158	148	0	nuclei	165
165	148	0	nuclei	173
167	148	0	nuclei	175
168	148	0	nuclei	177
169	148	0	nuclei	179
170	148	0	nuclei	178
171	148	0	nuclei	180
174	148	0	nuclei	196
177	148	0	nuclei	199
180	148	0	nuclei	174
181	148	0	nuclei	187
182	148	0	nuclei	188
183	148	0	nuclei	189
186	148	0	nuclei	193
188	148	0	nuclei	184
189	148	0	nuclei	185
191	148	0	nuclei	205
192	148	0	nuclei	201
193	148	0	nuclei	209
195	148	0	nuclei	213
196	148	0	nuclei	202
197	148	0	nuclei	203
198	148	0	nuclei	204
204	148	0	nuclei	212
208	148	0	nuclei	220
209	148	0	nuclei	207
211	148	0	nuclei	222
212	148	0	nuclei	223
213	148	0	nuclei	224
214	148	0	nuclei	210
215	148	0	nuclei	227
217	148	0	nuclei	9
4	148	1	nuclei	93
8	148	1	nuclei	20
11	148	1	nuclei	50
23	148	1	nuclei	19
26	148	1	nuclei	88
29	148	1	nuclei	54
32	148	1	nuclei	142
34	148	1	nuclei	178
36	148	1	nuclei	44
37	148	1	nuclei	47
43	148	1	nuclei	96
48	148	1	nuclei	26
51	148	1	nuclei	149
55	148	1	nuclei	114
57	148	1	nuclei	231
62	148	1	nuclei	30
64	148	1	nuclei	121
83	148	1	nuclei	211
95	148	1	nuclei	227
98	148	1	nuclei	155
102	148	1	nuclei	46
105	148	1	nuclei	109
115	148	1	nuclei	60
126	148	1	nuclei	101
128	148	1	nuclei	170
129	148	1	nuclei	209
130	148	1	nuclei	42
133	148	1	nuclei	59
143	148	1	nuclei	176
144	148	1	nuclei	190
153	148	1	nuclei	3
155	148	1	nuclei	27
159	148	1	nuclei	111
160	148	1	nuclei	183
166	148	1	nuclei	235
173	148	1	nuclei	234
175	148	1	nuclei	39
183	148	1	nuclei	51
184	148	1	nuclei	71
191	148	1	nuclei	200
196	148	1	nuclei	36
208	148	1	nuclei	225
215	148	1	nuclei	128
8	149	0	nuclei	8
14	149	0	nuclei	17
16	149	0	nuclei	18
23	149	0	nuclei	22
25	149	0	nuclei	16
29	149	0	nuclei	36
42	149	0	nuclei	48
43	149	0	nuclei	38
44	149	0	nuclei	50
55	149	0	nuclei	63
62	149	0	nuclei	70
72	149	0	nuclei	79
73	149	0	nuclei	72
79	149	0	nuclei	73
88	149	0	nuclei	87
93	149	0	nuclei	108
94	149	0	nuclei	109
95	149	0	nuclei	97
98	149	0	nuclei	101
102	149	0	nuclei	115
111	149	0	nuclei	122
115	149	0	nuclei	126
118	149	0	nuclei	139
122	149	0	nuclei	133
123	149	0	nuclei	134
125	149	0	nuclei	125
