id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
63	678	2	all	59
84	678	0	all	11
19	678	2	all	18
88	678	2	all	82
22	678	2	all	21
60	678	2	all	55
48	678	1	all	26
3	678	2	all	5
28	678	2	all	28
9	678	2	all	9
71	678	2	all	65
79	678	2	all	76
7	678	2	all	7
0	678	1	all	41
54	678	2	all	49
33	678	2	all	29
12	678	0	all	86
80	678	1	all	0
86	678	0	all	8
87	678	2	all	81
44	678	2	all	40
47	678	2	all	42
30	678	2	all	25
70	678	1	all	84
68	678	2	all	64
64	678	2	all	57
10	678	2	all	10
53	678	2	all	44
2	678	2	all	3
59	678	2	all	54
38	678	2	all	35
8	678	2	all	8
57	678	2	all	52
78	678	2	all	71
49	678	2	all	46
35	678	1	all	60
62	678	2	all	58
81	678	2	all	74
74	678	2	all	66
76	678	2	all	69
83	678	2	all	77
11	678	2	all	11
36	678	2	all	34
77	678	2	all	70
31	678	2	all	30
58	678	2	all	53
24	678	2	all	24
89	678	2	all	83
4	678	2	all	2
75	676	2	all	65
84	676	2	all	74
91	676	1	all	35
19	676	2	all	15
88	676	2	all	78
17	676	2	all	13
48	676	2	all	42
65	676	1	all	46
28	676	2	all	26
1	676	1	all	40
14	676	2	all	14
79	676	2	all	72
0	676	1	all	39
54	676	2	all	47
12	676	0	all	82
86	676	2	all	77
87	676	2	all	75
44	676	2	all	36
47	676	2	all	41
30	676	2	all	23
70	676	1	all	81
68	676	2	all	59
41	676	2	all	34
66	676	2	all	57
10	676	2	all	9
59	676	1	all	16
38	676	2	all	30
8	676	2	all	7
78	676	1	all	84
35	676	1	all	62
62	676	2	all	54
76	676	2	all	66
11	676	0	all	84
77	676	1	all	61
34	676	2	all	29
58	676	2	all	50
89	676	2	all	80
4	676	2	all	0
63	674	2	all	54
84	674	2	all	76
91	674	2	all	82
17	674	2	all	12
22	674	2	all	15
48	674	0	all	28
3	674	2	all	2
65	674	1	all	49
1	674	1	all	43
39	674	2	all	33
14	674	2	all	11
79	674	0	all	10
12	674	2	all	9
43	674	2	all	38
80	674	2	all	72
44	674	2	all	39
23	674	1	all	23
30	674	2	all	24
70	674	1	all	86
68	674	2	all	59
59	674	1	all	25
8	674	2	all	6
57	674	2	all	47
78	674	2	all	64
52	674	2	all	48
35	674	1	all	67
62	674	2	all	53
81	674	2	all	69
76	674	2	all	67
11	674	0	all	87
77	674	1	all	65
31	674	2	all	26
58	674	2	all	49
24	674	1	all	1
4	674	2	all	1
74	683	2	all	66
47	683	2	all	42
33	683	2	all	28
83	683	1	all	7
78	683	2	all	69
9	683	2	all	7
28	683	2	all	26
49	683	2	all	45
30	683	1	all	63
64	683	2	all	56
42	683	2	all	37
84	683	2	all	77
71	683	0	all	7
44	683	2	all	39
70	683	1	all	80
18	683	2	all	13
46	683	1	all	24
48	683	1	all	27
24	683	2	all	22
69	683	0	all	69
13	683	0	all	52
66	683	0	all	53
54	683	2	all	51
68	683	2	all	62
65	683	1	all	47
73	683	2	all	65
58	683	2	all	49
61	683	2	all	55
15	683	2	all	15
62	683	1	all	28
8	683	2	all	6
57	683	2	all	48
14	683	2	all	14
17	683	2	all	12
60	683	1	all	62
0	683	2	all	0
11	683	0	all	90
76	683	2	all	68
41	683	2	all	36
81	683	2	all	70
37	683	2	all	34
63	683	2	all	58
88	683	0	all	6
10	683	2	all	8
80	683	1	all	0
50	683	2	all	46
87	683	2	all	79
29	683	1	all	54
8	681	2	all	8
1	681	2	all	2
68	681	2	all	60
71	681	1	all	9
14	681	2	all	14
29	681	1	all	55
42	681	2	all	40
10	681	2	all	10
87	681	2	all	80
20	681	0	all	61
41	681	2	all	38
78	681	2	all	70
63	681	2	all	56
70	681	2	all	63
61	681	2	all	54
58	681	2	all	47
84	681	2	all	77
65	681	1	all	47
11	681	2	all	13
45	681	2	all	41
34	681	2	all	31
89	681	2	all	82
22	681	2	all	23
88	681	0	all	5
38	681	2	all	33
75	681	2	all	67
62	681	1	all	29
