id	corresponding_timepoint_id	corresponding_viewsetup_id	corresponding_label	corresponding_id
7	88	2	fu	7
5	88	2	fu	5
3	88	2	fu	3
8	88	2	fu	8
6	88	2	fu	6
0	88	2	fu	0
7	87	1	fu	2
1	87	2	fu	1
3	87	1	fu	6
6	87	2	fu	6
0	87	2	fu	0
7	85	1	fu	3
3	85	1	fu	5
0	85	2	fu	0
1	84	2	fu	1
0	84	2	fu	0
1	92	2	fu	1
8	92	1	fu	1
3	92	2	fu	3
4	92	1	fu	2
7	92	1	fu	3
6	92	1	fu	4
0	92	2	fu	0
1	93	2	fu	1
4	93	1	fu	2
7	93	1	fu	3
6	93	1	fu	4
0	93	2	fu	0
7	86	2	fu	7
3	86	2	fu	3
0	86	2	fu	0
7	91	2	fu	7
3	91	2	fu	3
8	91	2	fu	8
5	91	2	fu	6
0	91	2	fu	0
5	90	1	fu	7
1	90	2	fu	1
3	90	2	fu	3
8	90	1	fu	2
7	90	1	fu	3
6	90	1	fu	4
0	90	2	fu	0
7	94	2	fu	7
1	94	2	fu	1
0	94	2	fu	0
